Methane (CH4) Composition (%),Ethane (C2H6) Composition (%),Propane (C3H8) Composition (%),CO2 Composition (%),Water Vapor (H2O ppm),H2S (ppm),Inlet Pressure (psi),Inlet Temperature (°F),Flow Rate (MMSCFD),Solid Contaminant Load (ppm),Magnetic Field Strength (kV),Cyclonic Vortex Speed (RPM),Chamber Residence Time (s),Energy Consumption (kWh),CO2 and Methane Capture Efficiency (%),Efficiency (%)
91.87270059423682,3.345405988417796,1.648256954077822,0.9395046079818863,95.80144250738391,3.498351218645267,958.2762673798154,161.80015725477654,115.408081651192,17.96954559441575,35.52578273488696,3036.064193214708,28.33184730728791,6.998032646206308,98.52028719610882,97.82483101469094
94.75357153204958,3.5933627943827444,1.1723863621051662,0.6677523372736486,55.602279883615566,4.733733862562971,860.9673977027928,138.49154878367804,91.43280584776592,5.394347733210844,28.371698141367723,2224.751900307442,29.004272147890536,6.96473739789841,98.0677191310136,99.04184604771298
93.65996970905702,2.500935797584998,1.872394563354815,0.8074371902852591,66.96308680176173,3.8133339032816655,888.7636439658351,163.1166668008277,46.12775852627665,18.66495533366097,48.57994099455763,4726.760257736001,10.088202679606207,18.949058048711088,92.11947556640463,99.48594204126239
92.99329242098518,3.2497481992139976,1.6131162390692415,0.6052338085808114,104.15755425354754,1.416512915558982,986.6899130725802,105.88066214421401,141.0361165757405,9.58617791452101,18.759138039369528,1913.1522650846623,16.34150062752713,6.421707617681175,92.36483799943541,99.10190384456762
90.78009320221219,3.143491966287497,1.1572038835569542,0.7410242042797066,87.00800975751739,1.9279011839177769,1050.5224118667174,115.3275174322396,147.83620461640191,12.623340525324014,33.51425663995762,2679.6740861681137,26.747560589304538,5.06119410274107,98.83294264919189,97.86535731608573
90.77997260168101,3.6656607535765424,1.9623380574812068,0.5384031561947831,114.95783432509313,2.096640920154596,808.8875203359103,144.12273997170885,87.41477567330185,6.9844328712834205,38.008400599608905,4837.974387312023,20.728904107030708,10.83545737377353,92.12904631757581,98.77813098353215
90.29041806084099,3.812174120962521,1.5183654633353205,0.5108113138498117,80.0125985838948,2.2893212682242243,836.8307183884283,175.7670659802156,107.50268881502599,18.53382454065028,43.022579573815264,2274.900719753262,26.150174669643057,6.557764616481917,98.58131392034336,98.33480861747768
94.33088072887467,2.024313542954774,1.0728984518716551,0.7047608503186595,110.88686560697462,3.8270169597525214,1072.295758544965,105.98062773774242,89.53284888681213,16.247543350766072,26.278841217120284,3578.3726520440005,27.06646565675876,17.945547398663763,95.84778334587071,98.96629445970852
93.00557505871605,3.348039838117585,1.6268329044150671,0.6486907719287862,81.42688062347662,3.5198288991269675,931.4047169637781,103.44673729254914,75.40676159747326,18.862333799120513,37.47687630629926,2266.908174825301,18.852524398826453,18.840402701643995,90.4509849513696,97.38274348661561
93.54036288898023,2.1036715982394583,1.2531989070128102,0.7056754584049867,118.54737950913896,2.015800191821045,771.5847268540005,112.52405399422845,48.50506721435884,15.248435766772436,22.12805885537131,1442.699916468996,17.179658760495712,12.236395465346192,93.0215447951475,98.59533648161477
90.10292247147902,3.097717330154712,1.8036934518773025,0.500662406900916,117.18840669792138,1.3377742172784353,965.4780555649531,151.29225030881253,90.16745034370288,7.770406651134891,27.419043694472812,3510.188930737171,19.10866532101051,11.382072995150555,94.28538664721603,98.93416693335433
